year,time_hour,latitude,longitude,temp_drop_k,interface_temp_k,sea_ice_temp_k,rainfall,skin_temp_change_k
2018,0,-50.0,-123.75,0.0032806401140987873,279.9149475097656,273.14825439453125,7.68899917602539e-06,-0.0009805560111999512
2018,0,-50.0,-117.5,0.021270751953125,278.9618225097656,273.14825439453125,6.51925802230835e-06,-0.009769618511199951
2018,0,-50.0,-111.25,0.007247925270348787,279.0243225097656,273.14825439453125,1.6391277313232422e-05,-0.001957118511199951
2018,0,-50.0,-105.0,0.0,279.5868225097656,273.14825439453125,2.205371856689453e-06,0.002925693988800049
2018,0,-50.0,-98.75,0.02386474609375,279.3055725097656,273.14825439453125,1.570582389831543e-05,-0.007816493511199951
2018,0,-50.0,-92.5,0.02813720703125,279.0555725097656,273.14825439453125,6.109476089477539e-06,-0.009769618511199951
2018,0,-50.0,-86.25,0.03131103515625,279.5399475097656,273.14825439453125,4.507601261138916e-06,-0.013675868511199951
2018,0,-50.0,-80.0,0.0653076171875,280.1493225097656,273.14825439453125,9.03010368347168e-06,-0.03027743101119995
2018,0,-50.0,-67.5,0.1014404296875,278.8524475097656,272.86700439453125,7.773337529215496e-12,-0.03808993101119995
2018,0,-50.0,-61.25,0.0782470703125,279.3524475097656,273.08575439453125,5.25091081726714e-12,-0.02832430601119995
2018,0,-50.0,-55.0,0.05853271484375,278.1649475097656,273.14825439453125,2.153683453798294e-08,-0.02539461851119995
2018,0,-50.0,-48.75,0.03558349609375,277.3211975097656,272.86700439453125,1.958012580871582e-05,-0.01855868101119995
2018,0,-50.0,-42.5,0.1455078125,276.8368225097656,267.46075439453125,1.4770193956792355e-08,-0.04297274351119995
2018,0,-50.0,-36.25,0.18505859375,276.1336975097656,265.85137939453125,1.8603168427944183e-07,-0.03808993101119995
2018,0,-50.0,-30.0,0.152099609375,276.3368225097656,268.49200439453125,1.7276033759117126e-07,-0.03125399351119995
2018,0,-50.0,-23.75,0.029998779296875,276.6024475097656,273.14825439453125,9.760260581970215e-06,-0.007816493511199951
2018,0,-50.0,-17.5,0.0,276.3524475097656,273.14825439453125,8.094310760498047e-05,0.01952725648880005
2018,0,-50.0,-11.25,0.012664794921875,276.0086975097656,273.14825439453125,3.926455974578857e-06,-0.005863368511199951
2018,0,-50.0,-5.0,0.07373046875,274.5555725097656,270.02325439453125,5.073845386505127e-06,-0.02246493101119995
2018,0,-50.0,1.25,0.20361328125,275.5086975097656,270.67950439453125,3.602355718612671e-06,-0.014652431011199951
2018,0,-50.0,7.5,0.48583984375,276.1493225097656,266.69512939453125,2.88855517283082e-09,-0.03906649351119995
2018,0,-50.0,13.75,0.2021484375,276.1493225097656,265.71075439453125,0.0,-0.07519930601119995
2018,0,-50.0,20.0,0.148193359375,275.9305725097656,267.96075439453125,0.0,-0.09473055601119995
2018,0,-50.0,26.25,0.1014404296875,275.3993225097656,269.61700439453125,0.0,-0.07519930601119995
2018,0,-50.0,32.5,0.0704345703125,275.3993225097656,271.74200439453125,4.589557647705078e-06,-0.03027743101119995
2018,0,-50.0,38.75,0.0797119140625,275.9774475097656,271.80450439453125,6.473064422607422e-05,-0.06933993101119995
